"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Start Date","Completion Date","Locations","URL"
1,"Effect of Some Drugs on Liver Fibrosis","Recruiting","No Results Available","Liver Fibroses","Drug: Candesartan|Drug: Ramipril","Sherief Abd-Elsalam|Tanta University","Phase 3","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","October 1, 2018","November 2027","Sherief Abd-Elsalam, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT03770936"
2,"Anticoagulation in Liver Fibrosis in Patients With Hepatitis C Virus Infection","Completed","No Results Available","Liver Fibrosis","Drug: Warfarin","Imperial College London","Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","August 2005","October 2006","St Mary's Hospital NHS Trust, London, United Kingdom","https://ClinicalTrials.gov/show/NCT00180674"
3,"Pirfenidone and Advanced Liver Fibrosis.","Recruiting","No Results Available","Liver Fibrosis|Chronic Liver Disease","Drug: Pirfenidone|Other: Standard of care","Grupo Mexicano para el Estudios de las Enfermedades Hepaticas","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","August 1, 2019","December 31, 2020","Liver Clinic 1, Mexico City, Mexico","https://ClinicalTrials.gov/show/NCT04099407"
4,"Silybin - Vitamin E- Phospholipids Complex Reduces Liver Fibrosis in Patients With Chronic Hepatitis C Treated With Peg-IFN-a and RBV","Completed","No Results Available","Liver Fibrosis","Drug: Silybin 94 mg + vitamin E 90 mg + phospholipids 194 mg complex|Drug: Placebo","University of Catania","Phase 3","64","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","June 2010","December 2012","Cannizzaro Hospital, Catania, Sicily, Italy","https://ClinicalTrials.gov/show/NCT01935817"
5,"Magnetic Resonance Elastography for Assessment of Liver Fibrosis (MK-0000-132)(COMPLETED)","Completed","Has Results","Liver Fibrosis|Hepatitis C Virus","Procedure: MRE","Merck Sharp & Dohme Corp.","Phase 1","10","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","August 2009","January 2010",,"https://ClinicalTrials.gov/show/NCT00896233"
6,"Safety and Efficacy of Simtuzumab (SIM, GS-6624) in Adults With Advanced Liver Fibrosis But Not Cirrhosis Secondary to Non-Alcoholic Steatohepatitis (NASH)","Terminated","Has Results","Liver Fibrosis Due to NASH","Biological: Placebo|Biological: SIM","Gilead Sciences","Phase 2","222","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","December 5, 2012","December 29, 2016","Mayo Clinic Hospital, Phoenix, Arizona, United States|Southern California Liver Centers, Coronado, California, United States|University of California, San Diego (UCSD), San Diego, California, United States|University of California San Francisco (UCSF), San Francisco, California, United States|University of Colorado, Aurora, Colorado, United States|Miami Veterans Administration Healthcare System, Miami, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|Northwestern University, Chicago, Illinois, United States|Indianapolis Gastroenterology Research Foundation, Indianapolis, Indiana, United States|Iowa Digestive Disease Center, Clive, Iowa, United States|University of Louisville, Louisville, Kentucky, United States|Tulane University, New Orleans, Louisiana, United States|Mercy Medical Center, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Lahey Clinic, Burlington, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Minnnesota Gastroenterology, PA, Saint Paul, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Saint Louis University Hospital, Saint Louis, Missouri, United States|State University Of New York, Buffalo, New York, United States|Weill Cornell Medical College, New York, New York, United States|Mount Sinai Hospital, New York, New York, United States|Duke University, Durham, North Carolina, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University Gastroenterology, Providence, Rhode Island, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Clinical Research Institute, LLC, Arlington, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|St. Luke's Episcopal Hospital, Houston, Texas, United States|Alamo Clinical Research Associates, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States|University of Virginia Health System, Charlottesville, Virginia, United States|Liver Institute of Virginia, Newport News, Virginia, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|Bucheon St. Marys Hospital, Richmond, Virginia, United States|Virginia Commonwealth University Health System, Richmond, Virginia, United States|Virginia Mason Medical Center, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States|Hôpital Erasme, Brussels, Belgium|Université Catholique de Louvain, Bruxelles, Belgium|UZ Ghent, Gent, Belgium|University of Calgary, Calgary, Alberta, Canada|University of Manitoba, Winnipeg, Manitoba, Canada|London Health Science Center, London, Ontario, Canada|Toronto Liver Centre, Toronto, Ontario, Canada|Hopital Beaujon, Clichy, France|Hospital Saint-Antoine, Paris, France|Groupe Hospitalier Pitié- Salpétrière, Paris, France|CHU Strasbourg Hôpital Civil, Strasbourg, France|Medizinische Hochschule Hannover, Hannover, Germany|Gastroenterologisch-Hepatologisches Zentrum Kiel, Kiel, Germany|EUGASTRO GmbH, Leipzig, Germany|Azienda Ospedaliero-Universitaria di Modena Policlinico, Modena, Italy|Azienda Ospedaliera San Camillo Forlanini, Roma, Italy|Azienda Ospedaliera Città della Salute e della Scienza di Torino, Torino, Italy|Fundacion De Investigacion, San Juan, Puerto Rico|Hospital Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Puerta de Hierro, Majadahonda, Spain|Hospital Donostia, San Sebastian, Spain|John Radcliffe Hospital, Headington, United Kingdom|The Royal London Hospital, London, United Kingdom|Royal Free Hospital, Pond Street, London, United Kingdom|King's College Hospital NHS Foundation Trust No. 1 Account, London, United Kingdom|Nottingham University Hospitals Queens Medica, Nottingham, United Kingdom","https://ClinicalTrials.gov/show/NCT01672866"
7,"Study of Simtuzumab in HIV and/or Hepatitis C- Infected Adults With Liver Fibrosis","Completed","Has Results","Liver Fibrosis|Hepatitis C|HIV|HIV/HCV Co-infection","Biological: Simtuzumab","Gilead Sciences|National Institute of Allergy and Infectious Diseases (NIAID)","Phase 2","18","Industry|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","October 4, 2012","October 17, 2014","NIH Department of Laboratory Medicine, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01707472"
8,"A Study of FG-3019 in Subjects With Liver Fibrosis Due to Chronic Hepatitis B Infection","Terminated","No Results Available","Liver Fibrosis Due to Chronic Hepatitis B Infection","Drug: FG-3019|Drug: Placebo|Drug: Entecavir","FibroGen","Phase 2","114","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","August 2010","June 2015","Queen Mary Hospital, Pokfulam, Hong Kong Island, Hong Kong|Ruttonjee Hospital, Wanchai, Hong Kong Island, Hong Kong|Prince of Wales Hospital, Shatin, Kowloon, Hong Kong|Princess Margaret Hospital, Kowloon, Hong Kong|Tuen Mun Hospital, New Territories, Hong Kong|Alice Ho Miu Ling Nethersole Hospital, Tai Po, Hong Kong|Siriraj Hospital, Siriaj, Bangkok Noi, Thailand|Maharaj Nakorn Chiang Mai Hospital, Amphur Muang, Chiang Mai, Thailand|Songklanagarind Hospital, Amphur Hatyai, Songkla, Thailand","https://ClinicalTrials.gov/show/NCT01217632"
9,"Effect of Candesartan in Alcoholic Liver Fibrosis","Completed","No Results Available","Alcoholic Liver Disease","Drug: candesartan for hepatic fibrosis","Yonsei University","Phase 1|Phase 2","85","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","September 2005","March 2009","Yonsei University Wonju College of Medicine Wonju Christian Hospital, Wonju, Kangwon-do, Korea, Republic of","https://ClinicalTrials.gov/show/NCT00990639"
10,"A Study of Experimental Medication BMS-986263 in Adults With Advanced Hepatic Fibrosis After Cure of Hepatitis C","Completed","No Results Available","Hepatic Cirrhosis|Liver Fibrosis","Drug: BMS-986263|Other: Placebo","Bristol-Myers Squibb","Phase 2","61","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","February 14, 2018","May 28, 2019","The Texas Liver Institute, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT03420768"
